lane,strategy,contract,arm,track,applications,http,businessObserved,semanticStates,semanticStateUnknown,requestBodies,checkedApplications,checkVerdicts,provenanceErrors,collectorErrors
official,T1,E1-2,zero-shot,posting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-2,zero-shot,reporting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-3,zero-shot,interest,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-3,zero-shot,posting,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-3,zero-shot,reporting,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-1,few-shot,interest,6,"{""200"": 3, ""400"": 3}",0,0,6,6,0,{},0,3
official,T1,E2-1,few-shot,posting,6,"{""200"": 3, ""400"": 3}",0,0,6,6,0,{},0,3
official,T1,E2-1,few-shot,reporting,6,"{""200"": 3, ""400"": 2, ""500"": 1}",0,0,6,6,0,{},0,4
official,T1,E2-2,few-shot,interest,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-2,few-shot,posting,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-2,few-shot,reporting,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-3,few-shot,interest,5,"{""200"": 2, ""400"": 3}",0,0,5,5,0,{},0,2
official,T1,E2-3,few-shot,posting,5,"{""200"": 2, ""400"": 3}",0,0,5,5,0,{},0,2
official,T1,E2-3,few-shot,reporting,5,"{""200"": 3, ""400"": 2}",0,0,5,5,0,{},0,3
official,T1,E3-SDD-stage6r3,SDD,interest,4,"{""200"": 1, ""400"": 3}",0,0,4,4,0,{},0,1
official,T1,E3-SDD-stage6r3,SDD,posting,4,"{""200"": 1, ""400"": 3}",0,0,4,4,0,{},0,1
official,T1,E3-SDD-stage6r3,SDD,reporting,4,"{""200"": 1, ""400"": 3}",0,0,4,4,0,{},0,1
official,T2,E1-1,zero-shot,interest,300,"{""500"": 300}",0,0,300,249,0,{},0,0
official,T2,E1-1,zero-shot,posting,300,"{""500"": 300}",0,0,300,257,0,{},0,0
official,T2,E1-1,zero-shot,reporting,300,"{""500"": 300}",0,0,300,261,0,{},0,0
official,T2,E1-2,zero-shot,interest,300,"{""500"": 300}",0,0,300,241,0,{},0,0
official,T2,E1-2,zero-shot,posting,300,"{""500"": 300}",0,0,300,247,0,{},0,0
official,T2,E1-2,zero-shot,reporting,300,"{""500"": 300}",0,0,300,264,0,{},0,0
official,T2,E1-3,zero-shot,interest,300,"{""500"": 300}",0,0,300,247,0,{},0,0
official,T2,E1-3,zero-shot,posting,300,"{""500"": 300}",0,0,300,252,0,{},0,0
official,T2,E1-3,zero-shot,reporting,300,"{""500"": 300}",0,0,300,258,0,{},0,0
official,T2,E2-1,few-shot,interest,300,"{""200"": 23, ""400"": 116, ""500"": 161}",0,0,300,214,0,{},0,23
official,T2,E2-1,few-shot,posting,300,"{""200"": 67, ""400"": 137, ""500"": 96}",0,0,300,250,0,{},0,67
official,T2,E2-1,few-shot,reporting,300,"{""200"": 30, ""400"": 124, ""500"": 146}",0,0,300,258,0,{},0,30
official,T2,E2-2,few-shot,interest,300,"{""400"": 278, ""500"": 22}",0,0,300,251,0,{},0,0
official,T2,E2-2,few-shot,posting,300,"{""400"": 283, ""500"": 17}",0,0,300,259,0,{},0,0
official,T2,E2-2,few-shot,reporting,300,"{""400"": 273, ""500"": 27}",0,0,300,256,0,{},0,0
official,T2,E2-3,few-shot,interest,300,"{""200"": 14, ""400"": 121, ""500"": 165}",0,0,300,221,0,{},0,14
official,T2,E2-3,few-shot,posting,300,"{""200"": 14, ""400"": 172, ""500"": 114}",0,0,300,255,0,{},0,14
official,T2,E2-3,few-shot,reporting,300,"{""200"": 11, ""400"": 170, ""500"": 119}",0,0,300,257,0,{},0,11
official,T2,E3-SDD-stage6r3,SDD,interest,156,"{""200"": 6, ""400"": 150}",0,0,156,88,0,{},0,6
official,T2,E3-SDD-stage6r3,SDD,posting,156,"{""200"": 6, ""400"": 150}",0,0,156,88,0,{},0,6
official,T2,E3-SDD-stage6r3,SDD,reporting,156,"{""200"": 6, ""400"": 150}",0,0,156,88,0,{},0,6
official,T3,E1-1,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T3,E1-1,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-1,zero-shot,reporting,28,"{""500"": 28}",0,0,28,1,0,{},0,0
official,T3,E1-2,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T3,E1-2,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-2,zero-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E1-3,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T3,E1-3,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-3,zero-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E2-1,few-shot,posting,4,"{""200"": 4}",0,0,4,1,0,{},0,4
official,T3,E2-1,few-shot,reporting,28,"{""200"": 28}",0,0,28,1,0,{},0,28
official,T3,E2-2,few-shot,interest,18,"{""200"": 18}",0,0,18,1,0,{},0,18
official,T3,E2-2,few-shot,posting,6,"{""200"": 6}",0,0,6,1,0,{},0,6
official,T3,E2-2,few-shot,reporting,28,"{""400"": 28}",0,0,28,1,0,{},0,0
official,T3,E2-3,few-shot,posting,4,"{""200"": 4}",0,0,4,1,0,{},0,4
official,T3,E2-3,few-shot,reporting,28,"{""200"": 28}",0,0,28,1,0,{},0,28
official,T3,E3-SDD-stage6r3,SDD,interest,28,"{""200"": 28}",0,0,28,1,0,{},0,28
official,T3,E3-SDD-stage6r3,SDD,posting,17,"{""200"": 17}",0,0,17,1,0,{},0,17
official,T3,E3-SDD-stage6r3,SDD,reporting,77,"{""200"": 77}",0,0,77,1,0,{},0,77
official,T4,E1-1,zero-shot,interest,322,"{""200"": 18, ""500"": 304}",18,1,304,254,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T4,E1-1,zero-shot,posting,309,"{""200"": 6, ""500"": 303}",6,1,303,260,6,"{""pass"": 36}",0,0
official,T4,E1-1,zero-shot,reporting,331,"{""500"": 331}",0,0,331,265,0,{},0,0
official,T4,E1-2,zero-shot,interest,321,"{""200"": 18, ""500"": 303}",18,1,303,245,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T4,E1-2,zero-shot,posting,309,"{""200"": 6, ""500"": 303}",6,1,303,251,6,"{""pass"": 36}",0,0
official,T4,E1-2,zero-shot,reporting,331,"{""200"": 28, ""500"": 303}",28,1,303,268,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T4,E1-3,zero-shot,interest,322,"{""200"": 18, ""500"": 304}",18,1,304,252,18,"{""failed"": 18, ""pass"": 36}",0,0
official,T4,E1-3,zero-shot,posting,310,"{""200"": 6, ""500"": 304}",6,1,304,257,6,"{""pass"": 36}",0,0
official,T4,E1-3,zero-shot,reporting,332,"{""200"": 28, ""500"": 304}",28,1,304,263,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T4,E2-1,few-shot,interest,306,"{""200"": 26, ""400"": 119, ""500"": 161}",0,0,306,218,0,{},0,26
official,T4,E2-1,few-shot,posting,310,"{""200"": 74, ""400"": 140, ""500"": 96}",0,0,310,255,0,{},0,74
official,T4,E2-1,few-shot,reporting,334,"{""200"": 61, ""400"": 126, ""500"": 147}",0,0,334,263,0,{},0,62
official,T4,E2-2,few-shot,interest,322,"{""200"": 18, ""400"": 282, ""500"": 22}",0,0,322,256,0,{},0,18
official,T4,E2-2,few-shot,posting,310,"{""200"": 6, ""400"": 287, ""500"": 17}",0,0,310,263,0,{},0,6
official,T4,E2-2,few-shot,reporting,332,"{""400"": 305, ""500"": 27}",0,0,332,260,0,{},0,0
official,T4,E2-3,few-shot,interest,305,"{""200"": 16, ""400"": 124, ""500"": 165}",0,0,305,225,0,{},0,16
official,T4,E2-3,few-shot,posting,309,"{""200"": 20, ""400"": 175, ""500"": 114}",0,0,309,257,0,{},0,20
official,T4,E2-3,few-shot,reporting,333,"{""200"": 42, ""400"": 172, ""500"": 119}",0,0,333,262,0,{},0,42
official,T4,E3-SDD-stage6r3,SDD,interest,188,"{""200"": 35, ""400"": 153}",0,0,188,90,0,{},0,35
official,T4,E3-SDD-stage6r3,SDD,posting,177,"{""200"": 24, ""400"": 153}",0,0,177,90,0,{},0,24
official,T4,E3-SDD-stage6r3,SDD,reporting,237,"{""200"": 84, ""400"": 153}",0,0,237,90,0,{},0,84
