case_id,contractId,arm,track,operationId,scenarioId,program,source_sha256,line_executed,line_total,line_percent,branch_executed,branch_total,branch_executed_percent,branch_taken,branch_taken_percent,gcov_path
ESSENTIAL12x7-V2-E1-1-card-break-two-groups-v1,E1-1,zero-shot,reporting,generateTransactionReport,card-break-two-groups-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,750,1192,62.92,238,272,87.5,179,65.81,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-card-break-two-groups-v1/replay/applications/0001-2fc8c856ff3ad1cb/zero-shot-runs/p2b-runs/reporting-t4g6o88y/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-1-pagination-threshold-20-v1,E1-1,zero-shot,reporting,generateTransactionReport,pagination-threshold-20-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,734,1192,61.58,234,272,86.03,176,64.71,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-pagination-threshold-20-v1/replay/applications/0001-41a2f275edd03fd3/zero-shot-runs/p2b-runs/reporting-zc3leupr/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-2-valid-new-tcatbal,E1-2,zero-shot,posting,postDailyTransactions,valid-new-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,638,1120,56.96,238,288,82.64,177,61.46,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-valid-new-tcatbal/replay/applications/0001-6dececd10cd22792/zero-shot-runs/p2b-runs/posting-b3qtyqs_/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-valid-existing-tcatbal,E1-2,zero-shot,posting,postDailyTransactions,valid-existing-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,628,1120,56.07,234,288,81.25,170,59.03,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-valid-existing-tcatbal/replay/applications/0001-07003ed9e662ce99/zero-shot-runs/p2b-runs/posting-uvfdccp0/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-reject-card-missing,E1-2,zero-shot,posting,postDailyTransactions,reject-card-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,508,1120,45.36,188,288,65.28,140,48.61,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-reject-card-missing/replay/applications/0001-59aa671405545405/zero-shot-runs/p2b-runs/posting-d7an6him/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-reject-account-missing,E1-2,zero-shot,posting,postDailyTransactions,reject-account-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,522,1120,46.61,194,288,67.36,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-reject-account-missing/replay/applications/0001-02ba2943244a7baf/zero-shot-runs/p2b-runs/posting-rarn4yn1/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-reject-limit,E1-2,zero-shot,posting,postDailyTransactions,reject-limit,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-reject-limit/replay/applications/0001-cb622bab1a481be5/zero-shot-runs/p2b-runs/posting-nr_4sar9/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-reject-expiry,E1-2,zero-shot,posting,postDailyTransactions,reject-expiry,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-reject-expiry/replay/applications/0001-8062ac457354bd53/zero-shot-runs/p2b-runs/posting-00ybupnz/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-2-rates-specific-default-zero,E1-2,zero-shot,interest,generateInterestTransactions,rates-specific-default-zero,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-rates-specific-default-zero/replay/applications/0001-a126a8852e0dc779/zero-shot-runs/p2b-runs/interest-8t7oezs0/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-2-single-final-eof,E1-2,zero-shot,interest,generateInterestTransactions,single-final-eof,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,566,1029,55.0,204,266,76.69,150,56.39,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-single-final-eof/replay/applications/0001-08daf7f2fa80f75e/zero-shot-runs/p2b-runs/interest-2nc3o6cu/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-2-date-boundaries-in-out-v1,E1-2,zero-shot,reporting,generateTransactionReport,date-boundaries-in-out-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,655,1192,54.95,216,272,79.41,158,58.09,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-date-boundaries-in-out-v1/replay/applications/0001-59579f8dbd6745ef/zero-shot-runs/p2b-runs/reporting-dk26ptwu/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-2-empty-in-range-v1,E1-2,zero-shot,reporting,generateTransactionReport,empty-in-range-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,504,1192,42.28,164,272,60.29,119,43.75,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-empty-in-range-v1/replay/applications/0001-c42d8bfdd0bbfb96/zero-shot-runs/p2b-runs/reporting-cpr1_g9s/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-2-card-break-two-groups-v1,E1-2,zero-shot,reporting,generateTransactionReport,card-break-two-groups-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,750,1192,62.92,238,272,87.5,179,65.81,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-card-break-two-groups-v1/replay/applications/0001-ea6c524e43bd9b0d/zero-shot-runs/p2b-runs/reporting-3lc14frk/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-2-pagination-threshold-20-v1,E1-2,zero-shot,reporting,generateTransactionReport,pagination-threshold-20-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,734,1192,61.58,234,272,86.03,176,64.71,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-2-pagination-threshold-20-v1/replay/applications/0001-6cd97cdf06d897ca/zero-shot-runs/p2b-runs/reporting-9m1fa1__/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-3-valid-new-tcatbal,E1-3,zero-shot,posting,postDailyTransactions,valid-new-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,638,1120,56.96,238,288,82.64,177,61.46,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-valid-new-tcatbal/replay/applications/0001-0b66262e72bd9040/zero-shot-runs/p2b-runs/posting-wrfsejio/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-valid-existing-tcatbal,E1-3,zero-shot,posting,postDailyTransactions,valid-existing-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,628,1120,56.07,234,288,81.25,170,59.03,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-valid-existing-tcatbal/replay/applications/0001-6c54a75beba68ba1/zero-shot-runs/p2b-runs/posting-wevk6l46/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-reject-card-missing,E1-3,zero-shot,posting,postDailyTransactions,reject-card-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,508,1120,45.36,188,288,65.28,140,48.61,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-reject-card-missing/replay/applications/0001-1adcc63a20899237/zero-shot-runs/p2b-runs/posting-066sjrdh/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-reject-account-missing,E1-3,zero-shot,posting,postDailyTransactions,reject-account-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,522,1120,46.61,194,288,67.36,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-reject-account-missing/replay/applications/0001-b027e339362ccc5b/zero-shot-runs/p2b-runs/posting-541uddw6/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-reject-limit,E1-3,zero-shot,posting,postDailyTransactions,reject-limit,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-reject-limit/replay/applications/0001-5256951167c7a5df/zero-shot-runs/p2b-runs/posting-enyv8h2t/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-reject-expiry,E1-3,zero-shot,posting,postDailyTransactions,reject-expiry,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-reject-expiry/replay/applications/0001-99980bc0547bb7b8/zero-shot-runs/p2b-runs/posting-vdezget_/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E1-3-rates-specific-default-zero,E1-3,zero-shot,interest,generateInterestTransactions,rates-specific-default-zero,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,606,1029,58.89,228,266,85.71,172,64.66,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-rates-specific-default-zero/replay/applications/0001-af5c89f2b780f512/zero-shot-runs/p2b-runs/interest-6h06vtix/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-3-single-final-eof,E1-3,zero-shot,interest,generateInterestTransactions,single-final-eof,CBACT04C,6aaaab1a763d74a0684e44e91d9064d7a230f3d3297eded9aa2f3122f1aa4a1a,566,1029,55.0,204,266,76.69,150,56.39,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-single-final-eof/replay/applications/0001-f17f506d7b029069/zero-shot-runs/p2b-runs/interest-1uvnu8vu/gcov/CBACT04C.c.gcov
ESSENTIAL12x7-V2-E1-3-date-boundaries-in-out-v1,E1-3,zero-shot,reporting,generateTransactionReport,date-boundaries-in-out-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,655,1192,54.95,216,272,79.41,158,58.09,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-date-boundaries-in-out-v1/replay/applications/0001-0ec074b4358e6cea/zero-shot-runs/p2b-runs/reporting-vy5n09fx/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-3-empty-in-range-v1,E1-3,zero-shot,reporting,generateTransactionReport,empty-in-range-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,504,1192,42.28,164,272,60.29,119,43.75,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-empty-in-range-v1/replay/applications/0001-3055baa87130a004/zero-shot-runs/p2b-runs/reporting-6kg54smk/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-3-card-break-two-groups-v1,E1-3,zero-shot,reporting,generateTransactionReport,card-break-two-groups-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,750,1192,62.92,238,272,87.5,179,65.81,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-card-break-two-groups-v1/replay/applications/0001-53fb7c9e701f0d14/zero-shot-runs/p2b-runs/reporting-0jpbvp28/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E1-3-pagination-threshold-20-v1,E1-3,zero-shot,reporting,generateTransactionReport,pagination-threshold-20-v1,CBTRN03C,da92dc96c68fb19d8bd47b0ff97d1d291c730d06a3012bc6792abd5b10ed2848,734,1192,61.58,234,272,86.03,176,64.71,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-3-pagination-threshold-20-v1/replay/applications/0001-9c9af857a75628a8/zero-shot-runs/p2b-runs/reporting-zuaklzcm/gcov/CBTRN03C.c.gcov
ESSENTIAL12x7-V2-E2-1-valid-new-tcatbal,E2-1,few-shot,posting,postDailyTransactions,valid-new-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,638,1120,56.96,238,288,82.64,177,61.46,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-6ru_clq4/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E2-1-valid-existing-tcatbal,E2-1,few-shot,posting,postDailyTransactions,valid-existing-tcatbal,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,628,1120,56.07,234,288,81.25,170,59.03,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-c7xtaur3/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E2-1-reject-card-missing,E2-1,few-shot,posting,postDailyTransactions,reject-card-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,508,1120,45.36,188,288,65.28,140,48.61,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-qm48fgjf/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E2-1-reject-account-missing,E2-1,few-shot,posting,postDailyTransactions,reject-account-missing,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,522,1120,46.61,194,288,67.36,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-y3_181fu/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E2-1-reject-limit,E2-1,few-shot,posting,postDailyTransactions,reject-limit,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-mccx9bvc/gcov/CBTRN02C.c.gcov
ESSENTIAL12x7-V2-E2-1-reject-expiry,E2-1,few-shot,posting,postDailyTransactions,reject-expiry,CBTRN02C,7054bf317d9593040ec074ec3ff176bc98258911787b81f37755883999ca6e6b,531,1120,47.41,196,288,68.06,145,50.35,<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/p2b-preparation/isolated-cycle/aws-carddemo-cycle-v1/P2c-few-shot/runs/p2b-redirected/posting-zl6lowh_/gcov/CBTRN02C.c.gcov
