lane,strategy,contract,arm,track,applications,http,businessObserved,semanticStates,semanticStateUnknown,requestBodies,checkedApplications,checkVerdicts,provenanceErrors,collectorErrors
official,T2,E1-2,zero-shot,posting,300,"{""500"": 300}",0,0,300,247,0,{},0,0
official,T2,E1-2,zero-shot,reporting,300,"{""500"": 300}",0,0,300,264,0,{},0,0
official,T2,E1-3,zero-shot,interest,300,"{""500"": 300}",0,0,300,247,0,{},0,0
official,T2,E1-3,zero-shot,posting,300,"{""500"": 300}",0,0,300,252,0,{},0,0
official,T2,E1-3,zero-shot,reporting,300,"{""500"": 300}",0,0,300,258,0,{},0,0
official,T2,E2-1,few-shot,interest,300,"{""200"": 23, ""400"": 116, ""500"": 161}",23,18,277,214,23,"{""pass"": 69}",0,0
official,T2,E2-1,few-shot,posting,300,"{""200"": 67, ""400"": 137, ""500"": 96}",67,54,233,250,67,"{""pass"": 402}",0,0
official,T2,E2-1,few-shot,reporting,300,"{""200"": 30, ""400"": 124, ""500"": 146}",30,12,270,258,30,"{""not_exercised"": 30, ""pass"": 60}",0,0
official,T2,E2-2,few-shot,interest,300,"{""400"": 278, ""500"": 22}",0,0,300,251,0,{},0,0
official,T2,E2-2,few-shot,posting,300,"{""400"": 283, ""500"": 17}",0,0,300,259,0,{},0,0
official,T2,E2-2,few-shot,reporting,300,"{""400"": 273, ""500"": 27}",0,0,300,256,0,{},0,0
official,T2,E2-3,few-shot,interest,300,"{""200"": 14, ""400"": 121, ""500"": 165}",14,8,286,221,14,"{""pass"": 42}",0,0
official,T2,E2-3,few-shot,posting,300,"{""200"": 14, ""400"": 172, ""500"": 114}",14,5,286,255,14,"{""pass"": 84}",0,0
official,T2,E2-3,few-shot,reporting,300,"{""200"": 11, ""400"": 170, ""500"": 119}",11,3,289,257,11,"{""not_exercised"": 11, ""pass"": 22}",0,0
official,T2,E3-SDD-stage6r3,SDD,interest,156,"{""200"": 6, ""400"": 150}",6,1,150,88,6,"{""pass"": 18}",0,0
official,T2,E3-SDD-stage6r3,SDD,posting,156,"{""200"": 6, ""400"": 150}",6,1,150,88,6,"{""pass"": 36}",0,0
official,T2,E3-SDD-stage6r3,SDD,reporting,156,"{""200"": 6, ""400"": 150}",6,1,150,88,6,"{""not_exercised"": 6, ""pass"": 12}",0,0
official,T3,E1-1,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""pass"": 54}",0,0
official,T3,E1-1,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-1,zero-shot,reporting,28,"{""500"": 28}",0,0,28,1,0,{},0,0
official,T3,E1-2,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""pass"": 54}",0,0
official,T3,E1-2,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-2,zero-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E1-3,zero-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""pass"": 54}",0,0
official,T3,E1-3,zero-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E1-3,zero-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E2-1,few-shot,posting,4,"{""200"": 4}",4,1,0,1,4,"{""pass"": 24}",0,0
official,T3,E2-1,few-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E2-2,few-shot,interest,18,"{""200"": 18}",18,1,0,1,18,"{""pass"": 54}",0,0
official,T3,E2-2,few-shot,posting,6,"{""200"": 6}",6,1,0,1,6,"{""pass"": 36}",0,0
official,T3,E2-2,few-shot,reporting,28,"{""400"": 28}",0,0,28,1,0,{},0,0
official,T3,E2-3,few-shot,posting,4,"{""200"": 4}",4,1,0,1,4,"{""pass"": 24}",0,0
official,T3,E2-3,few-shot,reporting,28,"{""200"": 28}",28,1,0,1,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T3,E3-SDD-stage6r3,SDD,interest,28,"{""200"": 28}",28,1,0,1,28,"{""pass"": 84}",0,0
official,T3,E3-SDD-stage6r3,SDD,posting,17,"{""200"": 17}",17,1,0,1,17,"{""pass"": 102}",0,0
official,T3,E3-SDD-stage6r3,SDD,reporting,77,"{""200"": 77}",77,1,0,1,77,"{""not_exercised"": 77, ""pass"": 154}",0,0
official,T4,E1-1,zero-shot,interest,322,"{""200"": 18, ""500"": 304}",18,1,304,254,18,"{""pass"": 54}",0,0
official,T4,E1-1,zero-shot,posting,309,"{""200"": 6, ""500"": 303}",6,1,303,260,6,"{""pass"": 36}",0,0
official,T4,E1-1,zero-shot,reporting,331,"{""500"": 331}",0,0,331,265,0,{},0,0
official,T4,E1-2,zero-shot,interest,321,"{""200"": 18, ""500"": 303}",18,1,303,245,18,"{""pass"": 54}",0,0
official,T4,E1-2,zero-shot,posting,309,"{""200"": 6, ""500"": 303}",6,1,303,251,6,"{""pass"": 36}",0,0
official,T4,E1-2,zero-shot,reporting,331,"{""200"": 28, ""500"": 303}",28,1,303,268,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T4,E1-3,zero-shot,interest,322,"{""200"": 18, ""500"": 304}",18,1,304,252,18,"{""pass"": 54}",0,0
official,T4,E1-3,zero-shot,posting,310,"{""200"": 6, ""500"": 304}",6,1,304,257,6,"{""pass"": 36}",0,0
official,T4,E1-3,zero-shot,reporting,332,"{""200"": 28, ""500"": 304}",28,1,304,263,28,"{""not_exercised"": 28, ""pass"": 56}",0,0
official,T4,E2-1,few-shot,interest,306,"{""200"": 26, ""400"": 119, ""500"": 161}",26,20,280,218,26,"{""pass"": 78}",0,0
official,T4,E2-1,few-shot,posting,310,"{""200"": 74, ""400"": 140, ""500"": 96}",74,57,236,255,74,"{""pass"": 444}",0,0
official,T4,E2-1,few-shot,reporting,334,"{""200"": 61, ""400"": 126, ""500"": 147}",62,15,272,263,62,"{""not_exercised"": 61, ""pass"": 124}",0,0
official,T4,E2-2,few-shot,interest,322,"{""200"": 18, ""400"": 282, ""500"": 22}",18,1,304,256,18,"{""pass"": 54}",0,0
official,T4,E2-2,few-shot,posting,310,"{""200"": 6, ""400"": 287, ""500"": 17}",6,1,304,263,6,"{""pass"": 36}",0,0
official,T4,E2-2,few-shot,reporting,332,"{""400"": 305, ""500"": 27}",0,0,332,260,0,{},0,0
official,T4,E2-3,few-shot,interest,305,"{""200"": 16, ""400"": 124, ""500"": 165}",16,10,289,225,16,"{""pass"": 48}",0,0
official,T4,E2-3,few-shot,posting,309,"{""200"": 20, ""400"": 175, ""500"": 114}",20,6,289,257,20,"{""pass"": 120}",0,0
official,T4,E2-3,few-shot,reporting,333,"{""200"": 42, ""400"": 172, ""500"": 119}",42,5,291,262,42,"{""not_exercised"": 42, ""pass"": 84}",0,0
official,T4,E3-SDD-stage6r3,SDD,interest,188,"{""200"": 35, ""400"": 153}",35,1,153,90,35,"{""pass"": 105}",0,0
official,T4,E3-SDD-stage6r3,SDD,posting,177,"{""200"": 24, ""400"": 153}",24,1,153,90,24,"{""pass"": 144}",0,0
official,T4,E3-SDD-stage6r3,SDD,reporting,237,"{""200"": 84, ""400"": 153}",84,1,153,90,84,"{""not_exercised"": 84, ""pass"": 168}",0,0
